,int_pol,mil_kli,kul_rel,sta_tek,kon_kon,fam_id,other,igno,par_txt,article_id,gender
0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"men det kan vel også tænkes, at der er mennesker, som vil arbejde mere, når deres indkomst bliver mindre?",7991.0,all male
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"camp david-aftalerne mellem premierminister menachem begin og præsident anwar el-sadat betød tilsidesættelse af det palæstinensiske spørgsmål. denne begrænsning kom til at forme oslo-processen, hvorunder israel og plo nok anerkendte hinanden, men en afklaring af alle de afgørende spørgsmål såsom grænsedragning, flygtninge, vandressourcer, israelske bosættelser og jerusalems status blev udskudt.",6327.0,male
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"heldigvis tyder meget på, at et dansk nej til euroen får følgeskab af et endeligt nej fra sverige og england (og norge).",24369.0,male
3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"et andet område erteknologisk assistance til udviklingslandene til klimatilpasning. europa er verdens største bistandsyder og har - trods alt - en vis historisk begrundet oplevelse af ansvar for udviklingslandenes skæbne, mens kina har imagemæssige fordele af at markere sig som champion for de fattige, samt en umættelig appetit på investeringer, ikke mindst i afrika.",10872.0,female
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"	mange mænd har det ganske enkelt svært med at sluge ideen om en pille, der piller ved den mandlige seksualitet. mens pillen for kvinder repræsenterer et frigørelsesprojekt, har den for mænd karakter af en symbolsk kastration, der sætter spørgsmålstegn ved selve deres maskulinitet. nemmere bliver det ikke af, at spørgsmålet taler ind i en til tider ganske uforsonlig kønsdebat, der har pigerne mod drengene som sit retoriske udgangspunkt. set igennem disse kamplystne kønsbriller er mandepillen blot endnu et område, hvor kvinderne i ligestillingens navn forsøger at pålægge manden nye pligter og byrder, der er med til at feminisere og tæmme ham som mand.",4485.0,all male
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"i medarbejderens forberedelsesmateriale til selve samtalen anføres desuden, at han eller hun skal huske at »inddrage de udfordringer i dine overvejelser, som du og din afdeling står overfor, og hvilke krav det stiller til din udvikling.«",8462.0,male
6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, politisk,20290.0,male
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,leave this field blank ,12791.0,female
8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"det er nyudvikling, der kunne skabe grundlag for et nyt og bedre velfærdssamfund. det ville også igen gøre danmark til et internationalt eksempel til efterfølgelse. men det kræver mod. mod til at ville andet end bare magten.",648.0,male
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,plads til provokation,12920.0,female
10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, det virtuelle rum,23017.0,male
